cabin,content,date,destination,rating,route,title
Premium Economy,"
After flying on Air Canada Rouge I was not looking forward to another Air Canada flight even though I had opted for premium economy so it was a nice surprise when the flight was relatively comfortable and not more than a half hour late arriving. Service was not good and food was below adverage but not being uncomfortable and hours...
",30 July 2017,Toronto - Houston,ui_bubble_rating bubble_30,USA,So much better than Rouge
Economy,"
Booked a flight from Vancouver to Dublin (9 hours) and then Athens to Vancouver (11 hours) with Lufthansa but operated by Air Canada Rouge - never again! Don't even expect a complimentary cup of coffee - you have to pay for everything! I was absolutely shocked when I got on the plane to find there is no entertainment onboard except...
",30 July 2017,Vancouver - Dublin,ui_bubble_rating bubble_10,International,BEWARD OF LUFTHANSA OPERATED BY AIR CANADA ROUTE
Economy,"
Very old plane. No TV screens. I had to download an app to use inflight entertainment with my phone - it took me a hour to download it. Food quality was poor. Service was minimal. No beer or wine with meal was offered although it was available to pay for. Breakfast was a joke - a piece of bread in...
",30 July 2017,Toronto - Budapest,ui_bubble_rating bubble_10,International,worst than a budget airline
Premium Economy,"
I really do not know if reviewing the lounge at Pearson fits here or not, but here it comes.
The lounge is nice, and far better than the ones offered by other airlines, especially in Latin American countries. My poor rating goes to the attitude of the 'gate keepers' that somehow, at least in my personal experience, appear to have...
",30 July 2017,Toronto - Lima,ui_bubble_rating bubble_20,International,Lounge at Pearson (International flights)
Premium Economy,"
I flew from Montreal (YUL) to Shanghai (PVG) as my first leg on a business trip to Singapore. Being the only direct flight from my home airport to Asia, I was looking forward to the trip. The plane was a 787, and I was seated in premium economy (PE).
Although the plane seemed to be quite new, the USB port...
",30 July 2017,Montreal - Shanghai,ui_bubble_rating bubble_40,International,Great service outshined the broken USB port
Economy,"
Hi having travelled on Air Canada once before, though that was probably 10 years or more ago and been very satisfied with the flight , crew and the journey. I was looking forward to the flight. Took Aer Lingus from Heathrow to Dublin and boarded Air Canada flight there. Imagine my surprise to find my Trans Atlantic flight had no...
",29 July 2017,Dublin - Vancouver,ui_bubble_rating bubble_20,International,"Not Impressed, Very Disappointing"
Economy,"
Bag drop appalling total disorganised 90 mins just to drop bags.
Economy seats big comfy plenty of leg room .polite helpful staff food was very edible .certtainly recommend to anyone.Couldnt fault it .
But oh dear Heathrow really need to sort Queen terminal out .
",28 July 2017,London - Calgary,ui_bubble_rating bubble_40,International,Bag drop appalling flight 100% spot on
Economy,"
I had a flight booked with Air Canada to Cuba, with a 2 hour stopover in Toronto. Air Canada changed the second leg of the flight to the next day, creating a 26 hour layover. This change was poorly communicated, with only a single email consisting of an attached PDF file with two digits changed in the entire document. Air...
",28 July 2017,Calgary - Havana,ui_bubble_rating bubble_10,Caribbean,General disregard
Economy,"
Air Canada provides an at par service, nothing more nothing less. Clean interiors, industry standard legroom, not too bad seats, and a kind of standardized setting across their fleet. AC strives to provide a typical non-aggravating customer service also most of the time. However, occasionally you hit one or two of those bad apples who lack enthusiasm and a careless...
",28 July 2017,Vancouver - Toronto,ui_bubble_rating bubble_40,Domestic,"Overall very good, but customer service could be better"
Premium Economy,"
Check in and baggage drop off lines not separated. An unfortunate lack of vision and blatant lack of leadership made this an extremely frustrating experience. Many young and confused, apparently untrained staff, disagreed among themselves. This is a textbook case of lack of leadership. Grow up Air Canada.
",28 July 2017,Toronto - Zurich,ui_bubble_rating bubble_30,International,Chaos at departure from YYZ 
Economy,"
It has been awhile since I have travelled on such a small prop driven aircraft, that in some ways it was a 'whole new experience '. Being given the basic safety spill by the co-pilot and somewhat of a novelty on viewing the cockpit instruments and crew having a casual chat while I am there staring out the 2A window...
",28 July 2017,Halifax - Charlottetown,ui_bubble_rating bubble_40,Domestic,Yea gads a one aisle two seater.
Economy,"
This is one of the worst airlines with the worst customer service I ever encountered.
I got my flight to Montreal delayed by more than an hour as a result I would have missed my connection. They booked for the next day, almost 24 hours delay..
I had to pay for my own accommodation and when I asked for a...
",28 July 2017,Washington DC - Tel Aviv,ui_bubble_rating bubble_10,International,Flight delayed because of aircraft maintenance - no compensation whatsoever.
Economy,"
On June 24, I was boarding at NewYork's La Guardia airport with over 300 people in a row and 2 open counters; They wait for us over 90 minutes then tell us it was too late to embark ... We miss the flight, they force us to stay at NewYork at our expense, to take the flight the next day...
",28 July 2017,New York City - Milan,ui_bubble_rating bubble_10,International,A ruined vacation
Economy,"
my experience was what I consider to be typical. Flights were on time. Crew was courteous. Plane was clean.
",28 July 2017,Montreal - Halifax,ui_bubble_rating bubble_40,Domestic,This wqs what I expected. Nothing extraordinary to report.
Economy,"
The flight was relatively on time for boarding. Good day weather wise for flying. Pretty straight forward flight into La Guardia.
",28 July 2017,Toronto - New York City,ui_bubble_rating bubble_40,USA,All systems ago
Economy,"
Recently flew AC from Brisbane to Toronto via Vancouver and back. long haul leg Brisbane to Vancouver had pretty good service from the cabin crew. 787 Dreamliner cattle class seats more comfortable than expected, cabin pleasant enough for 14 hours, entertainment was ok as was the food. Drinks service three times but you could ask for more if wanted. Overall...
",28 July 2017,Brisbane - Toronto,ui_bubble_rating bubble_30,International,Good international - not so good domestic
Economy,"
Un believable it starts in GP on an over booked dinosaur holding 50 the flight frightened so manny on bored as it lacked modern advancements to minimize turbulence. Next was to van where several canceled flights piled into crowd the next flight and a rude staff that basically said suck it up. I will never fly air Canada again.
",27 July 2017,Edmonton - Vancouver,ui_bubble_rating bubble_10,Domestic,Chris 
Premium Economy,"
I have flown on Rouge before and I'm always disappointed. As usual, the food wasn't great, the seats did not have enough leg room, the reading lights didn't work (on the entire plane) and the sound for the movies did not work on my outlet. I am disappointed that the airline hasn't addressed some of these problems.
",27 July 2017,Bogota - Toronto,ui_bubble_rating bubble_20,International,Rouge
Business Class,"
Went to Calgary on vacation flying Business Class both ways on the way to Calgary with a stop in Toronto flight attendant and no one else provide any guidance on what we are suppose to do or go to get my luggage and re check them in. Once I figured that out had to wait in customs for an hour...
",27 July 2017,Calgary - Washington DC,ui_bubble_rating bubble_10,USA,Worst trip ever!
Economy,"
If you want to pay almost 600 dollars for a one way 2.5 hour flight and be treated with incredibly hostile and terrible service, you'll feel right at home. Nathalie at the check in gate is incredibly hostile and despite having paid so much for this flight I had one of the worst seats I've ever had and the worst...
",27 July 2017,Vancouver - Denver,ui_bubble_rating bubble_10,USA,Over priced and terrible service
Business Class,"
The business class lounge was nice but lacking the luxury touch that business traveler looking for. The plane was old and dirty.
The service and the staff were the great things in my trip.
",27 July 2017,Toronto - Montreal,ui_bubble_rating bubble_20,Domestic,Nice staff
Economy,"
Sat on Ground for about 3 hours while waiting for technican to fix a malfunctioning computer problem.
Only concession was a glass of water.
Fixed once taxied for takeoff only to return to have problem fixed again.
A free snack/meal/or ""drink"" would have been nice.
Pity those who missed connections & had to stay overnite in Toronto.
""WHY"" does it...
",27 July 2017,St. John's - Toronto,ui_bubble_rating bubble_20,Domestic,Disappointing
Premium Economy,"
This was our first time with Air Canada and we were very impressed. Seats and cabin were very comfortable, cabin staff very friendly, attentive and professional and timing of snacks, meals etc was perfect. The long flight passed quickly and was the best (and longest) we have experienced. On the ground, check in and boarding was smooth and fuss free....
",27 July 2017,Sydney - Vancouver,ui_bubble_rating bubble_50,International,Excellent service
Economy,"
The Ground staff were very helpful in changing our seats to allow me to sit with my children as our initial boarding passes were issued with me sitting 20 rows apart from them. The seats are very comfortable and the touch screens worked pretty well. The selection of movies were okay although my son dis have a problem with his...
",27 July 2017,Frankfurt - Vancouver,ui_bubble_rating bubble_50,International,Great experience
Business Class,"
For the first time we flew on Air Canada (from RDU to PVG) and would recommend that anyone planning to fly from the East Coast of the US / Canada to China / Western Pacific Rim seriously consider flying via Toronto. The flight over was good and smooth. Service in Business was great but expensive.
We will return home from...
",27 July 2017,Raleigh - Shanghai,ui_bubble_rating bubble_40,International,Great ride from one side of the planet to the other
Economy,"
This was l never take this airplane anymore...waht kind the fly attendant he has done the service for customers..very bad the service and attitude, in Taiwan we do the best hospitality around the world, l am proud of all the attention, because our services standards are much higher than the North America air attendants
",26 July 2017,Vancouver - Taipei,ui_bubble_rating bubble_10,International,The much bad attitude in Air Canada fly attendant
Business Class,"
I started a trip to Europe from YYC, starting with a leg to LAX. I was impressed by the customer service at YYC check-in, and the flight attendants offered great service. The new location at T6 in Los Angeles makes it easy to transfer to United flights.
",26 July 2017,Calgary - Los Angeles,ui_bubble_rating bubble_50,USA,Nice Change from United
Economy,"
We paid extra to have seats with extra legroom and both of us had aisle seats. This was an advantage, however, the seats were located directly behind Premium Economy where the aisle width changes. The result was that every time a Steward passed by, at least one of us was bumped which was very annoying as during the 14+ hour...
",25 July 2017,Sydney - Vancouver,ui_bubble_rating bubble_30,International,Average airline
Economy,"
I was set to fly out to Amsterdam on a flight with two layovers to barely make it to my destination on time. My flight was cancelled due to a sensor issue which they left us on the plane for 3 hours before escorting us off. At this point I would miss both of my layovers. They scheduled my flight...
",25 July 2017,Toronto - Stockholm County,ui_bubble_rating bubble_30,International,Not the best choice if in a hurry
Economy,"
Booked a flight with a friend and we could never sit together. The flight was 5 hours and there was no kinda of entertainment except to pay andvrent an iPad. Ridiculous! I've never had suggest poor offerings from a well known airline when I know some of their other planes are better equipt with more offerings.
",25 July 2017,Panama City - Toronto,ui_bubble_rating bubble_30,International,Disappointing Experience
Economy,"
This year I flew by Air Canadian from Buenos Aires to Tokyo (round trip) and it was the second time I flew with the airline, I made two stopovers (Vancouver and Toronto). I took seven different airplanes. All of them departed exactly at the scheduled time and landed on time or before. The boarding was always very organized and neat....
",25 July 2017,Buenos Aires - Tokyo,ui_bubble_rating bubble_40,International,Second test ... approved!!
Economy,"
Flight Attendants during meal service were rather busy chatting to themselves about their private issues (loudly) than paying attention to passengers. One flight attendant (Theresa) dropped at least twice food on the floor and serving it to passengers stating:"" Oh well it's wrapped, so no big deal."" ...thanks for those germs on my plate and hands now...
Food at Air...
",25 July 2017,London - Vancouver,ui_bubble_rating bubble_10,International,Flight Attendant services
Economy,"
A straightforward return trip, all on time, which is so important when you are on a luxury fishing trip. All luggage, including boxes of frozen and fresh fish, delivered safely. Adequate in-flight service. This flight was made with West Coast Fishing Club from the South Terminal of Vancouver Airport.
",25 July 2017,Vancouver - Masset,ui_bubble_rating bubble_30,Domestic,Nice flight to Haida Gwaii
Economy,"
Booked a flight with Air Canada to fly from NYC to Toronoto. The company cancelled the first flight, claiming there was construction activity at Toronto airport that prevented them from flying. They rebooked me on a different flight much later that day. They then kept delaying the flight several times, but ultimately we boarded the plane a few hours later....
",25 July 2017,New York City - Toronto,ui_bubble_rating bubble_10,Canada,Worst Airline Company. Avoid at all costs. Pay extra if you have to.
Economy,"
The evening flight on Sunday, July 23rd was delayed by 3 hours. The airline staff was nowhere to be found. Received updates via the Internet. Very poor communication regardless of whom is to blame - the airport or the airline.
This is not an isolated incident. Happened also on the flight to LGA from Montreal.
",25 July 2017,New York City - Montreal,ui_bubble_rating bubble_30,Canada,Poor Communication about Flight Delay
Economy,"
This was one of our most frustrating flights ever! We were booked by Air Canada (online) on a flight from San Francisco to Mumbai with a connection of 1.5 hours at Toronto. The flight from San Francisco to Toronto flight was delayed because they had to change the gate. Then the flight was further delayed because of some other ""issues""....
",25 July 2017,San Francisco - Mumbai (Bombay),ui_bubble_rating bubble_20,International,Bad customer service throughout
Economy,"
Air Canada provides decent flights with on-board Coca Cola products (and tasty snacks) even on short flights. Its pretty much your average service, although all the announcements being done in both English and French does provide a bit of a more enticing mood to the experience.
",25 July 2017,Portland - Vancouver,ui_bubble_rating bubble_40,Canada,Decent flight at a decent price
Business Class,"
The new business class on the new Dreamliner is really something worth paying for, very comfortable, hi-tech and almost anything you wish for it should of been there is there.... lighting is beautiful, food is delicious, would definitely recommend.
",25 July 2017,Tel Aviv - Toronto,ui_bubble_rating bubble_50,International,It's worth it!
Economy,"
I have been flying from Montreal to Boston on a weekly basis for the past 2 years. Air Canada is the only airline that offers direct flights to Boston. I had a few issues the past few years but not enough to get me upset. I understand that with Air Travel, delays due to weather or mechanic malfunctions are expected....
",25 July 2017,Montreal - Boston,ui_bubble_rating bubble_20,USA,"Late, Cancel, Late again, Cancel again - UNRELIABLE AIRLINE"
Economy,"
We flew Air Canada from Washing DC to Beijing, with a layover in Toronto purely because it was the cheapest flight on the day we needed to leave. Both of our flights left on time, the food was substantial and very good for an airline (we got three meals from Toronto to Beijing), and the staff was very communicative as...
",25 July 2017,Washington DC - Beijing,ui_bubble_rating bubble_50,International,Great service at a great price
Premium Economy,"
Flight from Ontario California to San Francisco with United very nice flight and final destination flight with Air Canada from SF to Toronto a bit turbulence in Nebraska valley. Long 5 hrs flight the only service we got is soft drinks not even snack. This is multi million business! And you can even serve better food. What a cheap company...
",24 July 2017,San Francisco - Toronto,ui_bubble_rating bubble_30,Canada,Stop over
Economy,"
Took the direct flight from Ottawa to London in order to make a morning meeting. Flight had an on time departure and arrival. Direct flight is very handy when you want to minimize your number of nights in a hotel. Service was ok as well.
",24 July 2017,Ottawa - London,ui_bubble_rating bubble_50,Domestic,Good Uneventful Flight
Economy,"
Flight times changed, resulting in longer lay overs. Two departure times were late. Luggage delivery on arrival a bit slow
",24 July 2017,Calgary - Copenhagen,ui_bubble_rating bubble_30,International,Average
Premium Economy,"
Had a very comfortable 14 plus hour flight. Excellent seats, good entertainment, service was exceptional. Much better than I expected as this was the first flight of that length I had ever been on.
",24 July 2017,Vancouver - Sydney,ui_bubble_rating bubble_50,International,Great flight
Premium Economy,"
It's easy to slag Air Canada for its price point and lateness and loading issues as we travel around Canada.
I would be contrarian on this. These guys are actually pretty good. Lately I've been flying a bit for business and personal both in Canada, to the US and to Europe and Air Canada seems outstanding comparatively.
The on board...
",24 July 2017,Vancouver - Ottawa,ui_bubble_rating bubble_50,Domestic,Air Canada for Canadians
Economy,"
What a different opinion since flying our last leg with Air Canada. We embarked on a 25 year old 767 plane in London to find ourselves sitting on these ripped, disgusting dirty seats. The plane was NOT cleaned in between services as I found bottles of wine on the side and garbage in the pockets. After over an hour of...
",24 July 2017,London - Ottawa,ui_bubble_rating bubble_10,International,25 year old plane with expected issues
Business Class,"
The business class was very good. The food was good as well. The flight attendants were very attentive and were very interactive the wifi and connectivity was terrible but everything else was spot on.
",24 July 2017,San Francisco - Toronto,ui_bubble_rating bubble_40,Canada,Substantial business class
Economy,"
On the way to our destination we purchased an upgrade...the attendant said it was the only way for me and my husband to sit together. Since it was our honeymoon, we payed the extra($149.00 EACH) so we could be together. The airline then sat a woman that weighed well over 400 lbs right next to me...or should I say ""on...
",24 July 2017,Amsterdam - Toronto,ui_bubble_rating bubble_10,International,I got what I paid for
Premium Economy,"
I have had enough experience with airlines to expect generally mediocre service, but Air Canada deserves some special recognition. WAY overbooking our flight, then having us stand in line for over an hour at the departure gate - staffed by one man - while saying nothing to anyone, then finally telling me that there is ""little chance you will get...
",24 July 2017,Toronto - New York City,ui_bubble_rating bubble_20,USA,Overbooked and Business as Unsual
Economy,"
Flight delayed for close to two hours. Very little communication. Company apology was an after-thought. On-board service was bare bones.
",24 July 2017,Montreal - New York City,ui_bubble_rating bubble_30,USA,"Flight Delays, Flight Delays"
Economy,"
Much more comfortable than the International flight.
These flights are treated as domestic. This flight was very comfortable.
Some flights the previous day were cancelled so it was full and there was the slight expectation that we'd get bumped off, but not so. A full flight but comfortable and plenty of space.
",23 July 2017,Toronto - New York City,ui_bubble_rating bubble_40,USA,Short flight from Toronto
Economy,"
My first ever flight was with Canada Air way back in 1974 so I was looking forward to flying with them again. I suppose the awe of boarding a jumbo jet as a 7 year old set me up for high expectations 40+ years later...still.
Cuts to services and attempts to increase profits are visible, especially as my other recent...
",23 July 2017,London - Toronto,ui_bubble_rating bubble_30,International,Two flights each different but both fine
Economy,"
After three weeks in the US we were heading home to Europe. When we arrived in the airport they told us that they could not allow us on board without a VISA. I was very surprised we needed a VISA for transit. We only had 1,5 hours (because we had spend 40 min waiting in line) and we applied on-line...
",23 July 2017,San Francisco - Toronto,ui_bubble_rating bubble_10,Canada,Very important info missing
Premium Economy,"
I flew Frankfurt (FRA) to Montreal (YUL) for business purposes. The aircraft was a 787 (one of my favorites), and I sat in premium economy (PE).
The flight left the gate at FRA a bit late due to congestion, but arrived 15 minutes early at the gate at YUL. The crew was nice and friendly. The meal was not bad,...
",23 July 2017,Frankfurt - Montreal,ui_bubble_rating bubble_40,International,Kudos for the luggage handling
Economy,"
Our first visit to Canada and Air Canada provided a great way of getting there. The flight was on time, the staff were very welcoming and the in flight service was very good. The food was acceptable and when we return to Canada we would certainly use the same carrier
",23 July 2017,London - Toronto,ui_bubble_rating bubble_40,International,Great way to get to Canada
Economy,"
Flying trans-Atlantic in economy is never an enjoyable experience. But Air Canada made this as painless as possible. Easy on-line check in, even easier baggage drop off, they fed us in-flight (although the pasta bake was something to behold - not in a good way), and the staff were friendly enough. As to entry into Canada at Vancouver - well...
",23 July 2017,London - Vancouver,ui_bubble_rating bubble_40,International,An easy trans-Atlantic flight
Economy,"
Excellent Service!! We received a upgrade seat, Dinner with Wine and breakfast. The flight attendant was amazing always take care of us with coffee and everything we needed it. Also the prices are more better than another airlines.
I'm going to flight again with Air Canada and I suggest to everyone to do that. 👋
",23 July 2017,Toronto - Rome,ui_bubble_rating bubble_50,International,The best flight ever.
Economy,"
I usually fly another airline that while charter is far superior to what I experienced on Air Canada. I paid an extra fee and spoke with an Air Canada rep as to which seats I wanted for the flights. Once on board I was in a middle seat in the middle row. ?!?!
Literally ran on the connecting flight as...
",23 July 2017,Toronto - Lyon,ui_bubble_rating bubble_10,International,NOT AGAIN If I can Help It!
Economy,"
Just want to give a shout out to the staff at Air Canada on our recent flight from Toronto's Pearson Airport to Rome, Italy.
Every single person on flight AC890 on Monday July 17th, 2017 was professional, helpful and friendly.
Surprisingly we had a choice in dinner menu, wine, delicious banana bread and fresh coffee. All served with a smile....
",23 July 2017,Toronto - Rome,ui_bubble_rating bubble_50,International,Flight to Rome
Economy,"
Got to the airport in Miami 3 hours before departure just to make sure everything was in order-turned out not only had we too little time but also if our flight hadn't been delayed, we would've missed it, because of the length of check-in (took 2&half hours-great thing is, we got 90$ worth vouchers for 4 people). During check-in the...
",22 July 2017,Miami - Budapest,ui_bubble_rating bubble_10,International,Worst flying experience of our lives
Economy,"
Let me start by saying we normally fly west jet and preferably out of Hamilton. My daughter used her aeroplan points and flew from Winnipeg to Toronto with her 5 and 1 years old. She flew out this morning at 8:15 am. We decided to stay overnight near the airport to cut the stress and avoid waking the kids earlier...
",22 July 2017,Toronto - Winnipeg,ui_bubble_rating bubble_10,Domestic,What an organized chaotic mess
Economy,"
Flew the early morning flight from Victoria to Toronto. I always take a window seat as it's a great way to catch up on extra sleep without people bothering you to go to the bathroom. Arrived on schedule, like it normally does.
",22 July 2017,Victoria - Toronto,ui_bubble_rating bubble_40,Domestic,"On time, on target"
Business Class,"
My wife, son and I have taken business class with Air Canada to Europe the last two summers in a row. We are ordinary people who saved to splurge for our summer vacations and to arrive in Europe rested and ready to go. Last year we had a poor experience and naively gave air canada another chance. Shame on us......
",22 July 2017,Toronto - Rome,ui_bubble_rating bubble_20,International,Business class dissapoints again
Economy,"
We chose this airline because it had direct flights between Sydney Australia and Vancouver. We also used the same airline to return to Australia a month later. We travel regularly via Qantas or other major airlines and for the following reasons we will not use this airline again.
Seating was as usual in economy class but movie selection was very...
",22 July 2017,Sydney - Vancouver,ui_bubble_rating bubble_20,International,Compared with other airlines this did not measure up
Economy,"
I have traveled all over since a very young age and one thing i've really struggled with on planes is sleeping. On my flight from Vancouver to Toronto, i was with my best friend who had NEVER flown before. She was terrified and not wanting to do it at all. On this flight i was not only able to sleep...
",21 July 2017,Vancouver - Toronto,ui_bubble_rating bubble_50,Domestic,Nap Time
Economy,"
I've flown hundreds of times over the years..This was a perfect flight..the flight attendants were friendly,courteous and efficient..the beverage and meal service was perfectly coordinated.My friend and I paid extra and bought the middle seat(I had the aisle and she had the window on the three seat side of plane)and it made a huge difference in comfort and spaciousness.The price...
",21 July 2017,Vancouver - London,ui_bubble_rating bubble_50,International,Smooth flight-excellent service
Business Class,"
Flew out of Toronto on July 07 on the 7:00 a.m. flight to Van. My son had enough points to fly the 4 of us in business class on the 777, with individual pods. Service was friendly, & exemplary. Wish I could afford to fly business class all the time, a most enjoyable journey with no complaints from any of...
",21 July 2017,Toronto - Vancouver,ui_bubble_rating bubble_50,Domestic,First Class
Economy,"
Absolutely packed which in itself is not a problem but there were repeated delays at Vancouver due to poor organisation and the information flow was almost non existent. Not my greatest flying experience.
",21 July 2017,Vancouver - San Francisco,ui_bubble_rating bubble_20,USA,No information 
Premium Economy,"
The original cost looked good, after the add ons not so much. almost froze to death. Had to buy a blanket, even after I upgraded. Know your total cost before you book.Web site very hard to navigate.
",21 July 2017,Toronto - Vancouver,ui_bubble_rating bubble_20,Domestic,nickel and dime you to death
Premium Economy,"
Flight details:-
Flight Number: AC0043
Departing Delhi at Terminal 3, Gate 1A
Arriving in Toronto Pearson at Terminal T1
Departing Delhi (DEL) on July 20, 2017 @ 00:10
Arriving in Toronto Pearson (YYZ) on July 20, 2017 @ 05:05
My mother travelled premium economy on this leg especially due to the duration of this flight ( 14+) and the hope...
",21 July 2017,New Delhi - Toronto,ui_bubble_rating bubble_10,International,Discrimination!
Economy,"
Where to start, first we got delayed 2 1/2 hours from windsor and missed our connecting flight in Toronto. We had to wait 5 hours for a flight to connect to england then rome to palermo. In Toronto air Canada gave us boarding passes for england but not for rome to palermo but said not to worry our seats were...
",21 July 2017,Windsor - Palermo,ui_bubble_rating bubble_10,International,Worst Flight Ever!!!
Economy,"
Having flown AC on the way out, I was not looking forward to this flight. However, I re checked in at the gate to see if we could get more room and was obliged with a three seat for the two of us. On boarding however we found that yet again, single travellers were given the seats with the most...
",21 July 2017,Calgary - London,ui_bubble_rating bubble_30,International,Flight from Calgary to Heathrow
Economy,"
We had flown BA from Edinburgh to Heathrow and Air Canada was the carrier for the onward flight to Calgary. We were told in check-in that the flight wasn't busy so we could have a seat between us to make more room, this did not happen as the man on the end of the row of four had been told...
",21 July 2017,London - Calgary,ui_bubble_rating bubble_30,International,Calgary Flight
Business Class,"
Norwegian Cruise Line dropped us off at Vancouver airport in lots of time for our flight. Check-in was easy and we had time to enjoy a breakfast in the Air Canada Lounge, which is excellent. Flight was on time and crew were extremely friendly and professional.
Definitely will use Air Canada again
",20 July 2017,Vancouver - Toronto,ui_bubble_rating bubble_50,Domestic,Great flight
Economy,"
I simply do not understand how AC is a 4 star airline.
The extra seat to make it 3-4-3 in Economy for a 777 is criminal by any standards, yet alone for a 14-15 hour flight. Service is poor. The aisles are so narrow that the cabin crew manage to either bump themselves or the trolley each time they go...
",20 July 2017,Sydney - Vancouver,ui_bubble_rating bubble_30,International,Below par
Economy,"
When I entered the flight, crew at the door did not even bother to look at us and did not see the boarding pass. We found our seats and all crew were hiding in the kitchen the whole time. Just before take off they appeared and made sure seat belts are on and disappeared again.
Seats are so small and...
",20 July 2017,Las Vegas - Toronto,ui_bubble_rating bubble_20,Canada,Bad Bad bad! 
Economy,"
Got on the plane and noticed my seat had a bit of ""stuff"" on it. The person sitting beside me came to sat down and immediately left. (We had both paid for bulk head seating).Then a flight attendant showed up with a bag and put out of order on the seat beside me. Turns out that the person flying on...
",20 July 2017,Toronto - London,ui_bubble_rating bubble_10,International,"Do not fly Air Canada, worst customer service and things go down hill"
Business Class,"
Wife paid significant costs of upgrade in the hope we could sleep on the flight. To be fair the cubical are very good and you can lie flat however the food was hardly better than economy (which was inedible) and the wine selection was to say the least average.
The file selection was terrible with very few new films in...
",20 July 2017,Vancouver - London,ui_bubble_rating bubble_20,International,Not Worth The Extra
