"","loc_id","name","type","str_no","street","postal_code","ward","phone","building.type","bldgname","Infant","Toddler","Preschooler","Kindergarten","Gradelevel","Total","subsidy","gc_geoid","longitude","latitude","run_date","district"
"28",1094,"Arbor Glen Community Child Care Centre","Non-Profit","55","freshmeadow dr","M2H 3H6",24,"416-497-4040","Public Elementary School","Arbor Glen Public School",0,0,24,26,45,95,"Yes",3107754,-79.35571268,43.809495,"15-Jun-17","North York"
"29",1095,"Frankland Day Care Centre","Non-Profit","816","logan ave","M4K 3E1",30,"416-463-1413","Public Elementary School","Frankland Community School",0,0,0,20,50,70,"Yes",7570431,-79.34993745,43.67713734,"15-Jun-17","Toronto East York"
"30",1098,"Early Adventures Nursery School & Child Care","Commercial","200","melrose st","M8Y 1B7",6,"416-251-5151","Public Elementary School","George R Gauld Public School",0,10,24,26,27,87,"Yes",1018182,-79.49852269,43.62064567,"15-Jun-17","Etobicoke York"
"31",1101,"Beatty Buddies Daycare","Non-Profit","55","woodington ave","M4C 3J6",31,"416-467-8687","Public Elementary School","Earl Beatty Public School",0,15,40,26,45,126,"Yes",6624483,-79.32156885,43.68602662,"15-Jun-17","Toronto East York"
"32",1103,"Selwyn Community Child Care Centre","Non-Profit","1","selwyn ave","M4B 3J9",31,"416-285-9730","Public Elementary School","Selwyn Public School",0,0,22,0,38,60,"Yes",3259532,-79.30632915,43.70844824,"15-Jun-17","Toronto East York"
"33",1104,"Mandi Day Care","Non-Profit","30","barrhead cres","M9W 3Z7",2,"416-749-8110","Public School (Closed)","Mississauga Private School/ Rexdale (Closed)",10,15,16,0,30,71,"Yes",986007,-79.56655549,43.71932182,"15-Jun-17","Etobicoke York"
"34",1107,"Educare Kindergarten - Rathburn","Commercial","18","four seasons pl","M9B 6E7",3,"416-620-0072","Office Building","Four Seasons Place",0,10,24,0,30,64,"Yes",13972296,-79.56271632,43.64692004,"15-Jun-17","Etobicoke York"
"35",1111,"Rolph Road Day Care","Non-Profit","31","rolph rd","M4G 3M5",26,"416-487-5862","Public Elementary School","Rolph Road Public School",0,0,24,26,46,96,"Yes",3244674,-79.36625464,43.69979217,"15-Jun-17","North York"
"36",1115,"Trimbee Early Learning & Child Care Centre","City-Operated","30","denarda st","M6M 5C3",11,"416-392-3705","High Rise Apartment","Trimbee Court",10,10,0,0,0,20,"Yes",57080,-79.49250429,43.68924906,"15-Jun-17","Etobicoke York"
"37",1116,"Guildwood Child Care","Commercial","3969","kingston rd","M1J 3H8",43,"416-261-4476","High Rise Apartment","",10,20,40,0,15,85,"Yes",3484510,-79.20334136,43.75149073,"15-Jun-17","Scarborough"
"38",1123,"Ernie Boccia Creative Child Day Care","Commercial","1","northwestern ave","M6M 2J7",12,"416-653-6305","Other","Harold And Grace Baker Centre",10,20,16,0,0,46,"Yes",69387,-79.46978959,43.69794532,"15-Jun-17","Etobicoke York"
"39",1125,"First Stage - Burnhamthorpe","Non-Profit","500","the east mall","M9B 2C4",3,"416-394-7534","Public High School","Burnhamthorpe Collegiate Institute",10,15,16,0,0,41,"Yes",6765660,-79.56184169,43.64962968,"15-Jun-17","Etobicoke York"
"40",1127,"Fairbank Memorial Day Care Centre","Non-Profit","555","harvie ave","M6E 4M2",17,"416-656-8675","Public Elementary School","Fairbank Memorial",10,15,16,0,30,71,"Yes",62504,-79.4554057,43.69170324,"15-Jun-17","Etobicoke York"
"41",1129,"First Stage - West Humber","Non-Profit","1675","martin grove rd","M9V 3S3",1,"416-394-7515","Public High School","West Humber Collegiate Institute",10,15,16,0,0,41,"Yes",10747541,-79.5867087,43.73093099,"15-Jun-17","Etobicoke York"
"42",1130,"Red Apple Day Care (Overlea)","Non-Profit","135","overlea blvd","M3C 1B3",26,"416-429-5437","Public High School","Marc Garneau Collegiate Institute",10,10,16,0,0,36,"Yes",10750672,-79.33497117,43.70898428,"15-Jun-17","North York"
"43",1135,"Fraser School - Community Day Care Centre","Non-Profit","79","manning ave","M6J 2K6",19,"416-603-7372","Public Elementary School","Charles G. Fraser Public School",0,10,24,26,15,75,"Yes",837099,-79.40948687,43.64853867,"15-Jun-17","Toronto East York"
"44",1137,"Golf Road School Child Care Centre","Non-Profit","730","scarborough golf club rd","M1G 1H7",38,"416-289-1061","Public Elementary School","Golf Road Junior Public School",0,10,16,26,30,82,"Yes",383209,-79.21697343,43.76366692,"15-Jun-17","Scarborough"
"45",1138,"McKee McKids Enrichment Centre","Non-Profit","35","church ave","M2N 6X6",23,"416-222-1414","Public Elementary School","McKee Public School",0,0,24,60,90,174,"Yes",13973429,-79.41105951,43.77411646,"15-Jun-17","North York"
"46",1140,"Leaside Day Care Centre","Non-Profit","206","laird dr","M4G 3W4",26,"416-487-5862","Other","",20,35,44,0,0,99,"Yes",27258,-79.36420251,43.71109919,"15-Jun-17","North York"
"47",1141,"Gold Circle Early Childhood Day Care Centre","Non-Profit","25","poynter dr","M9R 1K8",4,"416-241-2000","Public Elementary School","Westway Junior Public School",0,15,24,26,45,110,"Yes",1024346,-79.5489966,43.6908307,"15-Jun-17","Etobicoke York"
"48",1148,"Park Lawn Preschool","Non-Profit","71","ballacaine dr","M8Y 4B6",5,"416-236-2974","Public Elementary School","Park Lawn Junior And Middle School",0,15,24,40,60,139,"Yes",985525,-79.49645019,43.63771518,"15-Jun-17","Etobicoke York"
"49",1150,"George Harvey Child Care Centre","Non-Profit","1700","keele st","M6M 3W5",12,"416-658-9244","Public High School","George Harvey Collegiate Institute",10,15,16,0,0,41,"Yes",8152704,-79.47369919,43.68454651,"15-Jun-17","Etobicoke York"
"50",1157,"Children's Circle Of St. Barnabas","Non-Profit","361","danforth ave","M4K 1P1",30,"416-461-5151","Place of Worship","St. Barnabas Anglican Church",10,15,56,24,60,165,"Yes",14210230,-79.35233178,43.67727944,"15-Jun-17","Toronto East York"
"51",1160,"Morningside Children's Centre","Commercial","292","morningside ave","M1E 3E7",43,"416-282-9956","House","",0,10,24,0,0,34,"Yes",7017610,-79.18793863,43.77216292,"15-Jun-17","Scarborough"
"52",1167,"McNicoll Avenue Child Care Program","Non-Profit","155","mcnicoll ave","M2H 2C1",24,"416-499-9743","Public School (Closed)","McNicoll Avenue Public School",10,15,24,0,0,49,"Yes",30033326,-79.35808222,43.79893404,"15-Jun-17","North York"
"53",1169,"N.Y.A.D. Guildwood","Non-Profit","225","livingston rd","M1E 1L8",43,"416-261-6540","Public Elementary School","Guildwood Junior Public School",0,0,16,26,30,72,"Yes",4166113,-79.19998986,43.75082968,"15-Jun-17","Scarborough"
"54",1170,"Arpi Nursery School","Commercial","39","carl hall rd","M3K 2E2",9,"416-781-1620","Industrial Building","",10,15,32,20,60,137,"Yes",30026125,-79.47793719,43.74698117,"15-Jun-17","North York"
"55",1174,"Bonaventure Child Care Centre","Non-Profit","295","dufferin st","M6K 3G2",14,"416-588-4318","High Rise Apartment","",10,25,32,0,0,67,"Yes",13501671,-79.427308,43.64004992,"15-Jun-17","Toronto East York"
"56",1180,"Children's Primary Centre","Non-Profit","177","beverley st","M5T 1Y7",20,"416-977-1204","Place of Worship","Chinese Presbyterian Church",0,0,26,12,30,68,"No",771736,-79.39425109,43.65557777,"15-Jun-17","Toronto East York"
"57",1182,"Happy Day Child Care Centre","Commercial","676","jane st","M6N 4A7",11,"416-528-1469","Purpose Built","",0,0,24,12,20,56,"Yes",9446372,-79.49278831,43.66845829,"15-Jun-17","Etobicoke York"
"58",1190,"Humewood House Infant Centre","Non-Profit","40","humewood dr","M6C 2W4",21,"416-651-5657x225","House","Humewood House",10,0,0,0,0,10,"Yes",63900,-79.42738985,43.68418415,"15-Jun-17","Toronto East York"
"59",1192,"N'Sheemaehn","Non-Profit","1255","military trail","M1C 1A3",44,"416-287-7624","Purpose Built","University Of Toronto Scarborough Campus",10,10,24,10,0,54,"Yes",30010394,-79.18814514,43.78566054,"15-Jun-17","Scarborough"
"60",1193,"Childspace Day Care Corporation # 1 (50 Woodmount)","Non-Profit","50","woodmount ave","M4C 3X9",31,"416-425-7763","Catholic Elementary School","St. Brigid's Catholic School",0,0,0,40,47,87,"Yes",886268,-79.31690251,43.68695754,"15-Jun-17","Toronto East York"
"61",1194,"Royal Day Care Centre","Commercial","1737","weston rd","M9N 1V5",11,"416-249-9115","Purpose Built","",0,10,56,0,39,105,"Yes",76750,-79.51069311,43.69841377,"15-Jun-17","Etobicoke York"
"62",1196,"Rosalie Hall Child Development Centre","Non-Profit","3020","lawrence ave e","M1P 2T7",38,"416-438-6880x239","Other","",30,25,8,0,0,63,"Yes",11485084,-79.24852584,43.75560029,"15-Jun-17","Scarborough"
"63",1200,"Alpha Site (Brant Street Day Care) (Licence #04561)","Non-Profit","20","brant st","M5V 2M1",20,"416-368-9735","Public Elementary School","Alpha Alternative Primary School",0,0,0,10,10,20,"Yes",3948771,-79.39822582,43.64573061,"15-Jun-17","Toronto East York"
"64",1201,"Humewood Day Care Centre","Non-Profit","15","cherrywood ave","M6C 2X4",21,"416-658-8886","Public Elementary School","Humewood Community School",0,0,24,60,24,108,"Yes",55237,-79.4280237,43.68664368,"15-Jun-17","Toronto East York"
"65",1204,"Rexdale Day Nursery","Non-Profit","925","albion rd","M9V 1A6",1,"416-743-5057","Public School (Closed)","Thistletown Multi Service Centre",0,0,24,24,25,73,"Yes",10985943,-79.56258034,43.73547048,"15-Jun-17","Etobicoke York"
"66",1205,"Sandbox Day Care Centre","Commercial","15","orton park rd","M1G 3G3",43,"416-431-3327","High Rise Apartment","",0,10,38,12,28,88,"Yes",369553,-79.20544822,43.76521124,"15-Jun-17","Scarborough"
"67",1207,"Humber Bay Child Care Centre","Non-Profit","50","cloverhill rd","M8Y 1T3",5,"416-251-8240","Public Elementary School","Etienne Brule Junior Public School",0,15,24,26,45,110,"Yes",7940034,-79.48968772,43.63562731,"15-Jun-17","Etobicoke York"
"68",1211,"Humber Child Development Centre","Non-Profit","205","humber college blvd","M9W 5L7",1,"416-675-6622x4484","Community College/University","Humber College Of Applied Arts And Technology",20,20,48,0,0,88,"Yes",12387605,-79.60683987,43.72916655,"15-Jun-17","Etobicoke York"
"69",1213,"Avenue Road Nursery School","Commercial","1498","avenue rd","M5N 2J1",16,"416-783-2773","Place of Worship","St. Ansgar Church",0,30,64,0,0,94,"Yes",11395014,-79.41583347,43.72205828,"15-Jun-17","North York"
"70",1216,"Roseland Day Care Centre","Non-Profit","990","jane st","M6N 4E2",11,"416-763-0068","Public Elementary School","Roseland Public School",0,0,24,26,60,110,"Yes",9584890,-79.49906428,43.68123537,"15-Jun-17","Etobicoke York"
"71",1221,"Romero Bears Child Care Centre","Non-Profit","99","humber blvd","M6N 2H4",11,"416-769-1174","Catholic High School","Archbishop Romero Catholic School",10,10,16,0,0,36,"Yes",2917611,-79.48079682,43.68033287,"15-Jun-17","Etobicoke York"
"72",1229,"Lescon Learners Child Care","Non-Profit","34","lescon rd","M2J 2G6",33,"416-499-7325","Public Elementary School","Lescon Public School",0,10,24,20,27,81,"Yes",536699,-79.35749461,43.78084349,"15-Jun-17","North York"
"73",1231,"Childspace Day Care Corporation # 2 (690 Carlaw)","Non-Profit","690","carlaw ave","M4K 3K9",30,"416-469-0560","Catholic Elementary School","Holy Name Catholic School",0,15,24,20,54,113,"Yes",780044,-79.34728806,43.67735609,"15-Jun-17","Toronto East York"
"74",1232,"Dawes Road Centre For Early Learning","Commercial","391","dawes rd","M4B 2E6",31,"416-755-8348","Other","",20,20,40,0,0,80,"Yes",10365077,-79.29675842,43.70177809,"15-Jun-17","Toronto East York"
"75",1235,"Silverstone Learning Centre","Commercial","520","silverstone dr","M9V 3L5",1,"416-741-0414","Public Elementary School","Melody Village Public School",0,10,24,20,30,84,"Yes",10154322,-79.59484589,43.73814334,"15-Jun-17","Etobicoke York"
"76",1245,"Crescent Town Day Care Centre - 605299 Ontario Limited","Commercial","2","the market pl","M4C 5M1",31,"416-691-3979","Community/Recreation Centre","",10,25,32,0,30,97,"Yes",30072981,-79.29234778,43.69574193,"15-Jun-17","Toronto East York"
"77",1248,"Brock Early Learning Centre","Non-Profit","93","margueretta st","M6H 3S4",18,"416-535-3491","Public Elementary School","Brock Avenue Public School",0,15,32,26,50,123,"Yes",9780839,-79.43784738,43.65305827,"15-Jun-17","Toronto East York"
"78",1250,"Sunny Faces Day Care Centre - Rivercrest","Non-Profit","30","harefield dr","M9W 4C9",2,"416-744-0778","Public Elementary School","Rivercrest Public School",0,0,16,40,45,101,"Yes",1005812,-79.56951774,43.72971618,"15-Jun-17","Etobicoke York"
"79",1254,"Baycrest Child Care Centre","Non-Profit","145","baycrest ave","M6A 1W4",15,"416-784-1316","Public Elementary School","Baycrest Public School",0,20,48,39,30,137,"Yes",487550,-79.44425476,43.72661437,"15-Jun-17","North York"
"80",1255,"Campus Community Co-Operative Day Care","Non-Profit","370","huron st","M5S 2G4",20,"416-946-0875","Purpose Built","",10,15,24,0,0,49,"Yes",823546,-79.40072723,43.66458936,"15-Jun-17","Toronto East York"
"81",1258,"Carmelite Day Nursery","Non-Profit","108","harrison st","M6J 2A3",19,"416-536-5313","Purpose Built","",16,25,48,32,42,163,"Yes",10864646,-79.42199419,43.65121289,"15-Jun-17","Toronto East York"
"82",1261,"Silverstone Montessori Day Care","Commercial","350","silverstone dr","M9V 3J4",1,"416-741-9820","Public Elementary School","Clairville Public School",0,0,8,10,30,48,"Yes",10558804,-79.59823106,43.74785079,"15-Jun-17","Etobicoke York"
"83",1266,"Network Child Care Services - Just Kids Child Care Centre","Non-Profit","1695","keele st","M6M 3W7",12,"416-653-9944","Place of Worship","York Memorial Church",0,15,32,20,0,67,"Yes",8232461,-79.47268724,43.68548019,"15-Jun-17","Etobicoke York"
"84",1267,"Plains Road Child Care Inc.","Non-Profit","520","plains rd","M4C 2Z1",31,"416-421-2273","Catholic Elementary School","Canadian Martyrs Catholic School",10,20,32,13,15,90,"Yes",7794398,-79.31934185,43.69820851,"15-Jun-17","Toronto East York"
"85",1271,"J.R. Wilcox Day Care Centre","Non-Profit","231","ava rd","M6C 1X3",21,"416-656-1781","Public Elementary School","J.R. Wilcox Community School",0,15,24,52,47,138,"Yes",51261,-79.43630852,43.69495538,"15-Jun-17","Toronto East York"
"86",1272,"Silverthorn Day Care","Non-Profit","2700","eglinton ave w","M6M 1V1",12,"416-653-9702","Office Building","York Civic Centre",10,10,24,0,0,44,"Yes",8492134,-79.47841238,43.68988424,"15-Jun-17","Etobicoke York"
"87",1278,"Sheppard Square Day Nursery","Commercial","5600","sheppard ave e","M1B 2L4",42,"416-292-3607","High Rise Apartment","Apartment Building",10,30,48,0,30,118,"Yes",13399814,-79.23634457,43.79501064,"15-Jun-17","Scarborough"
"88",1280,"Tiny Treasure Day Care Centre","Commercial","627","burnhamthorpe rd","M9C 2Y9",3,"416-622-6443","Place of Worship","Renforth Baptist Church",0,10,48,12,0,70,"No",7515102,-79.57320254,43.64366074,"15-Jun-17","Etobicoke York"
"89",1285,"Kingsview Child Care","Commercial","340","dixon rd","M9R 1T1",2,"416-249-7601","High Rise Apartment","",20,15,40,0,24,99,"Yes",3587551,-79.55385517,43.69561759,"15-Jun-17","Etobicoke York"
"90",1287,"Terry Tan Child Centre (Bloordale)","Non-Profit","4258","bloor st w","M9C 1Z7",3,"416-621-4822","Place of Worship","Bloordale United Church",0,20,32,0,15,67,"Yes",5524348,-79.56885561,43.63462796,"15-Jun-17","Etobicoke York"
"91",1288,"A & A Child Care Centre","Non-Profit","3380","midland ave","M1V 5B5",41,"416-298-4489","Other","",20,25,48,0,45,138,"Yes",2834434,-79.29034654,43.80930265,"15-Jun-17","Scarborough"
"92",1294,"Cottingham Child Care Centre","Non-Profit","85","birch ave","M4V 1E3",22,"416-929-6841","Public Elementary School","Cottingham Public School",0,0,0,13,30,43,"Yes",772190,-79.39561225,43.68038802,"15-Jun-17","Toronto East York"
"93",1297,"West Hill Centre For Early Learning (Centres For Early Learning Inc.)","Commercial","4010","lawrence ave e","M1E 2R4",43,"416-283-4294","High Rise Apartment","",10,15,40,0,0,65,"Yes",354529,-79.19884758,43.76673158,"15-Jun-17","Scarborough"
"94",1298,"B.F. Toronto Centre For Early Childhood Education","Commercial","45","golfdown dr","M9W 2H8",2,"416-746-6542x200","Public Elementary School","The Elms Junior Middle School",0,10,24,20,30,84,"Yes",1003702,-79.55211379,43.7222273,"15-Jun-17","Etobicoke York"
"95",1301,"Abacus Day Care Centre (629735 Ontario Inc.)","Commercial","20","chichester pl","M1T 1G6",40,"416-497-1474","High Rise Apartment","",0,10,24,0,0,34,"Yes",319578,-79.32176695,43.77731232,"15-Jun-17","Scarborough"
"96",1306,"Bayview Gardens Day Care Centre","Commercial","3125","bayview ave","M2K 1G2",24,"416-222-9405","Church","Greek Orthodox Community Centre",0,30,40,0,0,70,"Yes",4807575,-79.39063008,43.78161567,"15-Jun-17","North York"
"97",1309,"Tlc - Tender Loving Care (Cross St.)","Commercial","44","cross st","M9N 2B9",11,"416-248-5401","House","",0,10,16,10,24,60,"Yes",56769,-79.52592356,43.70499184,"15-Jun-17","Etobicoke York"
"98",1324,"Cedarbrae Day Nursery (1375 Midland)","Commercial","1375","midland ave","M1P 3B7",37,"416-751-2358","High Rise Apartment","",30,25,16,0,0,71,"Yes",363461,-79.26360737,43.74998737,"15-Jun-17","Scarborough"
"99",1327,"Catholic Settlement House Day Nursery","Non-Profit","131","mc caul st","M5T 1W3",20,"416-977-0254","Place of Worship","Catholic Settlement House",10,15,24,0,15,64,"Yes",20064628,-79.391295,43.65460007,"15-Jun-17","Toronto East York"
"100",1328,"Donald C. Macdonald Child Care Centre","Non-Profit","116","industry st","M6M 4L8",12,"416-769-2328","Other","York Business Opportunities Centre",20,30,16,0,0,66,"Yes",14072410,-79.49309153,43.69414011,"15-Jun-17","Etobicoke York"
"101",1335,"Blaydon Community Day Care Centre","Non-Profit","25","blaydon ave","M3M 2C9",9,"416-638-1461","Public Elementary School","Blaydon Public School",0,10,21,0,22,53,"Yes",490361,-79.48625941,43.73536582,"15-Jun-17","North York"
"102",1336,"Vaughan Road Infant & Toddler Centre","Non-Profit","529","vaughan rd","M6C 2R1",15,"416-658-1874","Public High School","Vaughan Road Collegiate",10,15,16,0,0,41,"Yes",75474,-79.43670608,43.69103029,"15-Jun-17","North York"
"103",1339,"Cedarbrae Day Nurseries (1385 Midland)","Commercial","1385","midland ave","M1P 3B8",37,"416-751-0664","High Rise Apartment","",0,0,32,20,45,97,"Yes",363462,-79.26384288,43.75063633,"15-Jun-17","Scarborough"
"104",1340,"Central Eglinton Childrens' Centre","Non-Profit","223","eglinton ave e","M4P 1L1",22,"416-440-0383","Public Elementary School","Eglinton Public School",0,15,48,70,105,238,"Yes",800621,-79.39085007,43.70791234,"15-Jun-17","Toronto East York"
"105",1347,"Children Of Tomorrow - John McCrae","Non-Profit","431","mccowan rd","M1J 1J1",38,"416-269-7093","Public Elementary School","John McCrae Public School",0,0,0,20,30,50,"Yes",6427801,-79.23988971,43.74405286,"15-Jun-17","Scarborough"
"106",1348,"Brookhaven Child Care","Non-Profit","70","brookhaven dr","M6M 4N8",12,"416-249-6587","Public Elementary School","Brookhaven Public School",0,15,24,60,60,159,"Yes",493354,-79.49569768,43.70251489,"15-Jun-17","Etobicoke York"
"107",1350,"Terry Tan Child Centre (Eatonville)","Non-Profit","15","rossburn dr","M9C 2P7",3,"416-621-9722","Public Elementary School","Eatonville Public School",10,10,32,26,30,108,"Yes",1028895,-79.56700571,43.63831653,"15-Jun-17","Etobicoke York"
"108",1351,"Birchmount Place Centre For Early Learning","Commercial","2360","birchmount rd","M1T 2M4",40,"416-291-0304","High Rise Apartment","",10,15,32,0,24,81,"Yes",308643,-79.29957063,43.78293933,"15-Jun-17","Scarborough"
"109",1356,"Vincent Massey Day Care & Nursery School","Commercial","68","daisy ave","M8W 1S1",6,"416-252-3304x225","Public School (Closed)","Vincent Massey Public School",20,30,40,40,60,190,"Yes",9109582,-79.52828852,43.59781618,"15-Jun-17","Etobicoke York"
"110",1360,"Immanuel Day Care Centre","Non-Profit","21","channel nine crt","M1S 4B5",41,"416-293-9361","Place of Worship","Immanuel Christian Church Of East Toronto",0,30,56,0,0,86,"Yes",3633178,-79.25654252,43.7839379,"15-Jun-17","Scarborough"
"111",1361,"Dandylion Childcare Centre","Non-Profit","53","donlands ave","M4J 3N7",29,"416-469-0091","Public Elementary School","Wilkinson Public School (Annex)",0,0,16,40,80,136,"Yes",7807349,-79.33748646,43.68205022,"15-Jun-17","Toronto East York"
"112",1367,"Kiddies Lodge Day Care Centre","Commercial","764","ellesmere rd","M1P 2W4",40,"416-298-6092","Place of Worship","Members In Christ Assemblies",0,15,24,0,30,69,"Yes",331433,-79.28701195,43.76493593,"15-Jun-17","Scarborough"
"113",1368,"Kimbercroft Day Nursery (30 Kimbercroft Court)","Commercial","30","kimbercroft crt","M1S 4K9",42,"416-291-1880","High Rise Apartment","",10,30,24,0,0,64,"Yes",351505,-79.23837554,43.79069585,"15-Jun-17","Scarborough"
